INICIOPROG	 ->	 inicioprog linha 1
INICIOVARS	 ->	 iniciovars linha 3
INTEIRO	 ->	 inteiro linha 4
IDENTIFICADOR	 ->	 potencia linha 4
PONTO_E_VIRG	 ->	 ; linha 4
REAL	 ->	 real linha 5
IDENTIFICADOR	 ->	 valor linha 5
VIRGULA	 ->	 , linha 5
IDENTIFICADOR	 ->	 resultado linha 5
PONTO_E_VIRG	 ->	 ; linha 5
FIMVARS	 ->	 fimvars linha 6
IDENTIFICADOR	 ->	 potencia linha 8
ATRIBUICAO	 ->	 = linha 8
NUMERO	 ->	 3 linha 8
PONTO_E_VIRG	 ->	 ; linha 8
IDENTIFICADOR	 ->	 valor linha 9
ATRIBUICAO	 ->	 = linha 9
NUMERO	 ->	 5.0 linha 9
PONTO_E_VIRG	 ->	 ; linha 9
IDENTIFICADOR	 ->	 resultado linha 10
ATRIBUICAO	 ->	 = linha 10
NUMERO	 ->	 1.0 linha 10
PONTO_E_VIRG	 ->	 ; linha 10
SE	 ->	 se linha 12
ABRE_PAR	 ->	 ( linha 12
IDENTIFICADOR	 ->	 potencia linha 12
OP_RELACIONAL	 ->	 == linha 12
NUMERO	 ->	 0 linha 12
FECHA_PAR	 ->	 ) linha 12
ENTAO	 ->	 entao linha 12
IDENTIFICADOR	 ->	 valor linha 13
ATRIBUICAO	 ->	 = linha 13
NUMERO	 ->	 1.0 linha 13
PONTO_E_VIRG	 ->	 ; linha 13
FIM_SE	 ->	 fimse linha 14
SE	 ->	 se linha 16
ABRE_PAR	 ->	 ( linha 16
IDENTIFICADOR	 ->	 potencia linha 16
OP_RELACIONAL	 ->	 < linha 16
NUMERO	 ->	 0 linha 16
FECHA_PAR	 ->	 ) linha 16
ENTAO	 ->	 entao linha 16
IDENTIFICADOR	 ->	 valor linha 17
ATRIBUICAO	 ->	 = linha 17
NUMERO	 ->	 1 linha 17
DIV	 ->	 / linha 17
IDENTIFICADOR	 ->	 valor linha 17
PONTO_E_VIRG	 ->	 ; linha 17
IDENTIFICADOR	 ->	 potencia linha 18
ATRIBUICAO	 ->	 = linha 18
IDENTIFICADOR	 ->	 potencia linha 18
MULT	 ->	 * linha 18
ABRE_PAR	 ->	 ( linha 18
SUB	 ->	 - linha 18
NUMERO	 ->	 1 linha 18
FECHA_PAR	 ->	 ) linha 18
PONTO_E_VIRG	 ->	 ; linha 18
ENQUANTO	 ->	 enquanto linha 19
ABRE_PAR	 ->	 ( linha 19
IDENTIFICADOR	 ->	 potencia linha 19
OP_RELACIONAL	 ->	 > linha 19
NUMERO	 ->	 0 linha 19
FECHA_PAR	 ->	 ) linha 19
FACA	 ->	 faca linha 19
IDENTIFICADOR	 ->	 resultado linha 20
ATRIBUICAO	 ->	 = linha 20
IDENTIFICADOR	 ->	 resultado linha 20
MULT	 ->	 * linha 20
IDENTIFICADOR	 ->	 valor linha 20
PONTO_E_VIRG	 ->	 ; linha 20
IDENTIFICADOR	 ->	 potencia linha 21
ATRIBUICAO	 ->	 = linha 21
IDENTIFICADOR	 ->	 potencia linha 21
SUB	 ->	 - linha 21
NUMERO	 ->	 1 linha 21
PONTO_E_VIRG	 ->	 ; linha 21
FIM_ENQUANTO	 ->	 fimenquanto linha 22
FIM_SE	 ->	 fimse linha 23
ENQUANTO	 ->	 enquanto linha 25
ABRE_PAR	 ->	 ( linha 25
IDENTIFICADOR	 ->	 potencia linha 25
OP_RELACIONAL	 ->	 > linha 25
NUMERO	 ->	 0 linha 25
FECHA_PAR	 ->	 ) linha 25
FACA	 ->	 faca linha 25
IDENTIFICADOR	 ->	 resultado linha 26
ATRIBUICAO	 ->	 = linha 26
IDENTIFICADOR	 ->	 resultado linha 26
MULT	 ->	 * linha 26
IDENTIFICADOR	 ->	 valor linha 26
PONTO_E_VIRG	 ->	 ; linha 26
IDENTIFICADOR	 ->	 potencia linha 27
ATRIBUICAO	 ->	 = linha 27
IDENTIFICADOR	 ->	 potencia linha 27
SUB	 ->	 - linha 27
NUMERO	 ->	 1 linha 27
PONTO_E_VIRG	 ->	 ; linha 27
SE	 ->	 se linha 28
ABRE_PAR	 ->	 ( linha 28
IDENTIFICADOR	 ->	 resultado linha 28
OP_RELACIONAL	 ->	 > linha 28
NUMERO	 ->	 1000 linha 28
FECHA_PAR	 ->	 ) linha 28
ENTAO	 ->	 entao linha 28
ESCREVA	 ->	 escreva linha 29
STRING	 ->	 "Este valor eh grande\n" linha 29
PONTO_E_VIRG	 ->	 ; linha 29
FIM_SE	 ->	 fimse linha 30
FIM_ENQUANTO	 ->	 fimenquanto linha 31
ESCREVA	 ->	 escreva linha 33
STRING	 ->	 "Resultado: " linha 33
PONTO_E_VIRG	 ->	 ; linha 33
ESCREVA	 ->	 escreva linha 34
IDENTIFICADOR	 ->	 resultado linha 34
PONTO_E_VIRG	 ->	 ; linha 34
ESCREVA	 ->	 escreva linha 35
STRING	 ->	 "\n" linha 35
PONTO_E_VIRG	 ->	 ; linha 35
FIMPROG	 ->	 fimprog linha 37
