------------ ------- -----------
Name         Type    Declaration
------------ ------- -----------
potencia     inteiro variavel  
pliteral     literal parametro 
sliteral     literal parametro 
avulso       inteiro parametro 
"Este valor eh grande\n" literal parametro 
0            inteiro parametro 
1            inteiro parametro 
"Resultado: " literal parametro 
3            inteiro parametro 
"\n"         literal parametro 
valor        real    variavel  
resultado    real    variavel  
1.0          real    parametro 
5.0          real    parametro 
1000         inteiro parametro 
